,unitid,inst_name,state_abbr,latitude,longitude,url_athletes,member_conf_baseball,member_ncaa,member_naia,member_njcaa,conf_number_baseball,est_fte,level_of_study,ftpt,income_level,average_grant,net_price,number_applied,number_admitted,number_enrolled_total,sex,reqt_test_scores,sat_crit_read_75_pctl,sat_math_75_pctl,Acceptance_Rate,CONFNO3,Conference_Name,School,...1,instnm,stabbr,city,zip,ugds,insturl,tuitionfee_in,tuitionfee_out,locale,adm_rate,sat_avg,admcon7,npt4_pub,npt4_priv,npt45_pub,npt45_priv,year.x,ID,team_name,Division,Common name...5,Nickname,City,State,Primary,...10,...11,team_id,division.x,year.y,wins,losses,ties,team_name.y.y,division.y,season,total_players,avg_p_height_in,avg_other_height_in,count_Fr,count_So,count_Jr,count_Sr,count_Other,top_state_1,top_state_2,top_state_3,top_state_1_count,top_state_2_count,top_state_3_count
57,117946,Loyola Marymount University,CA,33.97085,-118.415744,https://lmulions.com/sports/2018/5/29/compliance-prospective-athlete-html.aspx,Yes,Yes,No,No,136,7439,Undergraduate,Full-time,$110 ,19961,52592,19045,8727,1610,Total,Considered,700,720,0.458230507,136,West Coast Conference,Loyola Marymount University,335,Loyola Marymount University,CA,Los Angeles,90045-2659,7171,https://www.lmu.edu/,58974,58974,11,0.4029,NA,3,NA,45723,NA,53926,latest,370,LMU (CA),1,Loyola Marymount,Lions,Los Angeles,CA,West Coast Conference,NA,NA,596587,1,2025,29,29,0,LMU (CA),1,2025,45,74.34782609,72.86363636,11,8,10,16,0,CA,AZ,CO,26,4,2
58,120254,Occidental College,CA,34.127124,-118.210908,NA,Yes,Yes,No,No,197,2062,Undergraduate,Full-time,$110 ,24887,52991,6495,2484,535,Total,Considered,740,750,0.382448037,197,Southern California Intercollegiate Athletic Conference,Occidental College,370,Occidental College,CA,Los Angeles,90041-3392,1844,https://www.oxy.edu/,63446,63446,11,0.3989,1461,5,NA,39329,NA,55885,latest,516,Occidental,3,Occidental College,Tigers,Los Angeles,CA,Southern California Intercollegiate Athletic Conference,NA,NA,596991,3,2025,10,30,0,Occidental,3,2025,45,71.42857143,70.9,13,11,10,10,1,CA,CO,OR,16,2,2
59,121150,Pepperdine University,CA,34.037786,-118.707077,pepperdinewaves.com/sports/2018/6/15/sports-compliance-spec-rel-prospective-student-athletes-html.aspx?id=42,Yes,Yes,No,No,136,4162,Undergraduate,Full-time,$110 ,30228,49924,11855,6249,1024,Total,Considered,710,730,0.527119359,136,West Coast Conference,Pepperdine University,386,Pepperdine University,CA,Malibu,90263,3629,www.pepperdine.edu/,66742,66742,21,0.4985,1367,5,NA,45409,NA,52946,latest,541,Pepperdine,1,Pepperdine,Waves,Malibu[L 13],CA,West Coast Conference,NA,NA,596648,1,2025,12,42,0,Pepperdine,1,2025,47,74.75,72.31578947,11,16,7,13,0,CA,TX,IL,19,5,3
60,121309,Point Loma Nazarene University,CA,32.718391,-117.250265,www.pointloma.edu/offices/office-institutional-effectiveness-research/institutional-research,Yes,Yes,No,No,156,2961,Undergraduate,Full-time,$110 ,16653,37554,3060,2560,662,Total,Considered,680,670,0.836601307,156,Pacific West Conference,Point Loma Nazarene University,388,Point Loma Nazarene University,CA,San Diego,92106-2899,3132,www.pointloma.edu/,43550,43550,11,0.8176,1278,5,NA,50168,NA,51154,latest,30149,Point Loma,NA,NA,NA,NA,NA,NA,NA,NA,596826,2,2025,39,18,0,Point Loma,2,2025,31,80,71.6,10,4,8,9,0,CA,AZ,WA,2,1,1
61,123554,Saint Mary's College of California,CA,37.840731,-122.109031,https://smcgaels.com/sports/2018/5/29/compliance.aspx,Yes,Yes,No,No,136,2301,Undergraduate,Full-time,$110 ,33075,38193,3523,2469,421,Total,Neither required nor recommended,NA,NA,0.700823162,136,West Coast Conference,Saint Mary's College of California,438,Saint Mary's College of California,CA,Moraga,94575,2024,https://www.stmarys-ca.edu/,56134,56134,21,0.8858,NA,3,NA,31198,NA,39616,latest,610,Saint Mary's (CA),1,Saint Mary's,Gaels,Moraga,CA,West Coast Conference,NA,NA,596665,1,2025,36,26,0,Saint Mary's (CA),1,2025,42,73.9047619,71.76190476,17,7,9,9,0,CA,HI,UT,39,2,1
62,122409,San Diego State University,CA,32.77525,-117.071228,https://goaztecs.com/documents/2021/8/13/2013_14_GSR_Report.pdf,Yes,Yes,No,No,203,29679,Undergraduate,Full-time,$110 ,1423,22059,67660,25646,5269,Total,Neither required nor recommended,NA,NA,0.37904227,203,Mountain West Conference,San Diego State University,408,San Diego State University,CA,San Diego,92182-0001,33654,www.sdsu.edu/,8290,20170,11,0.3444,NA,3,16174,NA,24913,NA,latest,626,San Diego St.,1,San Diego State,Aztecs,San Diego,CA,Mountain West Conference[C 2],NA,NA,596669,1,2025,20,39,0,San Diego St.,1,2025,39,74.73333333,72.625,17,10,6,6,0,CA,AZ,FL,28,4,2
63,122597,San Francisco State University,CA,37.721224,-122.476799,ir.sfsu.edu/student-right-know,Yes,Yes,No,No,138,20796,Undergraduate,Full-time,$110 ,1335,22274,27777,25809,3149,Total,Neither required nor recommended,NA,NA,0.929150016,138,California Collegiate Athletic Association,San Francisco State University,411,San Francisco State University,CA,San Francisco,94132,20033,www.sfsu.edu/,7424,19304,11,0.9615,NA,3,12882,NA,22813,NA,latest,628,San Fran. St.,2,San Francisco State University,Gators,San Francisco,CA,California Collegiate Athletic Association,NA,NA,596934,2,2025,33,23,0,San Fran. St.,2,2025,40,72.85,71.95,4,3,15,18,0,CA,NV,NA,38,1,NA
64,122755,San Jose State University,CA,37.336569,-121.880621,NA,Yes,Yes,No,No,203,24932,Undergraduate,Full-time,$110 ,1002,23112,30441,25682,4222,Total,Neither required nor recommended,NA,NA,0.843664794,203,Mountain West Conference,San Jose State University,419,San Jose State University,CA,San Jose,95192-0001,26757,www.sjsu.edu/,7992,19872,11,0.8023,NA,3,13741,NA,23401,NA,latest,630,San Jose St.,1,San Jose State,Spartans,San Jose,CA,Mountain West Conference,NA,NA,596672,1,2025,29,30,0,San Jose St.,1,2025,41,74.4,72.19047619,8,6,17,10,0,CA,AZ,NC,37,2,1
65,122931,Santa Clara University,CA,37.348362,-121.93784,www.scu.edu/student-right-to-know-act/,Yes,Yes,No,No,136,6564,Undergraduate,Full-time,$110 ,20942,54634,16848,9095,1549,Total,Considered,720,770,0.539826686,136,West Coast Conference,Santa Clara University,422,Santa Clara University,CA,Santa Clara,95053,6235,www.scu.edu/,59241,59241,12,0.4384,1417,5,NA,50959,NA,60212,latest,631,Santa Clara,1,Santa Clara,Broncos,Santa Clara,CA,West Coast Conference,NA,NA,596673,1,2025,20,30,0,Santa Clara,1,2025,41,74.55,72.66666667,12,11,11,7,0,CA,OR,CO,30,4,2
66,123572,Sonoma State University,CA,38.340274,-122.677066,sonomaseawolves.com/sports/2011/2/16/GEN_0216111835.aspx,Yes,Yes,No,No,138,6355,Undergraduate,Full-time,$110 ,1754,22112,10598,9934,822,Total,Neither required nor recommended,NA,NA,0.937346669,138,California Collegiate Athletic Association,Sonoma State University,440,Sonoma State University,CA,Rohnert Park,94928-3609,5374,https://sonoma.edu/,8190,20070,21,0.9473,NA,3,13801,NA,22141,NA,latest,645,Sonoma St.,NA,NA,NA,NA,CA,NA,NA,NA,596937,2,2025,15,33,0,Sonoma St.,2,2025,52,73.5,71.13333333,2,3,24,20,3,CA,AK,NV,24,1,1
67,243744,Stanford University,CA,37.429434,-122.167359,parents.stanford.edu/2015/11/09/stanford-athletics-registers-high-graduation-rates/,Yes,Yes,No,No,127,8092,Undergraduate,Full-time,$110 ,33622,45276,55471,2190,1757,Total,Considered,770,800,0.039480089,127,Pacific-12 Conference,Stanford University,3580,Stanford University,CA,Stanford,94305,7841,www.stanford.edu/,62484,62484,21,0.0391,1553,5,NA,12136,NA,50452,latest,674,Stanford,1,Stanford,Cardinal,Stanford,CA,Atlantic Coast Conference,NA,NA,596688,1,2025,27,25,0,Stanford,1,2025,38,74.10526316,73.05263158,11,9,11,7,0,CA,CO,AZ,27,2,1
68,110635,University of California-Berkeley,CA,37.871918,-122.260463,ncaa.org/about/resources/research/graduation-rates,Yes,Yes,No,No,127,32634,Undergraduate,Full-time,$110 ,4913,36217,112843,16295,6931,Total,Neither required nor recommended,NA,NA,0.144404172,127,Pacific-12 Conference,University of California-Berkeley,207,University of California-Berkeley,CA,Berkeley,94720,33073,www.berkeley.edu/,14850,45627,12,0.1166,NA,3,14979,NA,35154,NA,latest,107,California,1,California,Golden Bears,Berkeley,CA,Atlantic Coast Conference,NA,NA,596511,1,2025,24,31,0,California,1,2025,41,74.42105263,72.68181818,12,11,6,12,0,CA,FL,KS,38,1,1
69,110644,University of California-Davis,CA,38.539667,-121.749567,ncaa.org/about/resources/research/graduation-rates,Yes,Yes,No,No,109,31506,Undergraduate,Full-time,$110 ,5400,31575,87120,42475,7482,Total,Neither required nor recommended,NA,NA,0.487545914,109,Big West Conference,University of California-Davis,208,University of California-Davis,CA,Davis,95616-8678,31777,ucdavis.edu/,15247,46024,23,0.4163,NA,3,15288,NA,31258,NA,latest,108,UC Davis,1,UC Davis,Aggies,Davis,CA,Big West Conference[FB 5][C 9],NA,NA,596512,1,2025,27,28,0,UC Davis,1,2025,40,74.22222222,71.81818182,14,8,9,9,0,CA,NV,NA,39,1,NA
70,110653,University of California-Irvine,CA,33.648434,-117.841248,ncaa.org/about/resources/research/graduation-rates,Yes,Yes,No,No,109,29921,Undergraduate,Full-time,$110 ,5166,29565,107950,31110,6489,Total,Neither required nor recommended,NA,NA,0.288188976,109,Big West Conference,University of California-Irvine,209,University of California-Irvine,CA,Irvine,92697,29494,www.uci.edu/,14237,45014,11,0.2557,NA,3,12840,NA,29595,NA,latest,109,UC Irvine,1,UC Irvine,Anteaters,Irvine,CA,Big West Conference,NA,NA,596513,1,2025,43,17,0,UC Irvine,1,2025,40,74.27777778,72.27272727,12,8,11,9,0,CA,AZ,NA,39,1,NA
71,110662,University of California-Los Angeles,CA,34.07178,-118.442179,www.ncaa.org/about/resources/research/graduation-rates,Yes,Yes,No,No,127,33313,Undergraduate,Full-time,$110 ,5388,30301,139489,15028,6584,Total,Neither required nor recommended,NA,NA,0.107736094,127,Pacific-12 Conference,University of California-Los Angeles,210,University of California-Los Angeles,CA,Los Angeles,90095-1405,33040,www.ucla.edu/,13747,44524,11,0.0873,NA,3,14013,NA,30481,NA,latest,110,UCLA,1,UCLA,Bruins,Los Angeles,CA,Big Ten Conference,NA,NA,596514,1,2025,48,18,0,UCLA,1,2025,40,74.7826087,73,8,16,9,7,0,CA,AZ,CO,33,2,1
72,110671,University of California-Riverside,CA,33.97246,-117.32741,ncaa.org/about/resources/research/graduation-rates,Yes,Yes,No,No,109,22012,Undergraduate,Full-time,$110 ,4721,29379,52672,34437,5203,Total,Neither required nor recommended,NA,NA,0.653800881,109,Big West Conference,University of California-Riverside,211,University of California-Riverside,CA,Riverside,92521,22644,www.ucr.edu/,14170,44947,11,0.633,NA,3,13707,NA,29624,NA,latest,111,UC Riverside,1,UC Riverside,Highlanders,Riverside,CA,Big West Conference,NA,NA,596515,1,2025,16,36,0,UC Riverside,1,2025,37,72.8,71.8125,8,6,16,7,0,CA,NA,NA,37,NA,NA
